fecha,id_sku,categoria,volumen_litros,formato_envase,cantidad_vendida_total,stock_apertura,ingresos_almacen,stock_disponible_cierre,stock_minimo,precio_unitario_promedio,descuento_total,porcentaje_descuento_promedio,inversion_ads_total,clics_total,impresiones_total,conversiones_total,temperatura_promedio_celsius,temperatura_maxima_celsius,humedad_porcentaje,precipitacion_mm,alerta_ola_calor,numero_dia_semana,mes,trimestre,es_fin_de_semana,es_feriado,es_quincena,es_fin_mes,temporada,ventas_lag1,ventas_lag7,ventas_roll7,ads_lag1,ads_lag3,riesgo_demanda_censurada,fecha_creacion,fecha_modificacion,usuario_modificacion
2024-10-28,SKU_1L,Personal,1.0,Botella,97,303,0,206,180,2.0,0.0,0.0,0.0,0,0,0,17.0,19.7,76.5,0.0,False,1,10,4,False,False,False,False,Intermedia,87,69,95.86,61.24,18.61,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-10-29,SKU_1L,Personal,1.0,Botella,90,693,487,603,180,2.0,0.0,0.0,0.0,0,0,0,17.4,22.3,82.3,0.0,False,2,10,4,False,False,False,False,Intermedia,97,91,95.71,0.0,33.26,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-10-30,SKU_1L,Personal,1.0,Botella,104,603,0,499,180,2.0,0.0,0.0,0.0,0,0,0,15.1,17.8,83.4,0.0,False,3,10,4,False,False,True,False,Intermedia,90,106,95.43,0.0,61.24,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-10-31,SKU_1L,Personal,1.0,Botella,124,499,0,375,180,2.0,0.0,0.0,0.0,0,0,0,18.6,21.5,83.9,0.0,False,4,10,4,False,False,True,True,Intermedia,104,69,103.29,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-01,SKU_1L,Personal,1.0,Botella,36,883,508,847,180,2.0,0.0,0.0,0.0,0,0,0,16.8,21.8,80.4,0.0,False,5,11,4,False,True,False,False,Intermedia,124,107,93.14,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-02,SKU_1L,Personal,1.0,Botella,118,847,0,729,180,2.0,0.0,0.0,127.2,1736,154364,92,16.9,21.1,79.4,0.0,False,6,11,4,True,False,False,False,Intermedia,36,114,93.71,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-03,SKU_1L,Personal,1.0,Botella,121,729,0,608,180,2.0,0.0,0.0,109.28,1220,97549,48,16.2,20.3,84.9,0.0,False,7,11,4,True,False,False,False,Intermedia,118,87,98.57,127.2,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-04,SKU_1L,Personal,1.0,Botella,109,608,0,499,180,2.0,0.0,0.0,144.32,2081,136461,54,16.4,19.8,80.2,0.0,False,1,11,4,False,False,False,False,Intermedia,121,97,100.29,109.28,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-05,SKU_1L,Personal,1.0,Botella,128,499,0,371,180,2.0,0.0,0.0,167.74,1675,115239,73,18.2,20.7,82.5,0.0,False,2,11,4,False,False,False,False,Intermedia,109,90,105.71,144.32,127.2,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-06,SKU_1L,Personal,1.0,Botella,112,371,0,259,180,2.0,0.0,0.0,188.61,1933,97408,71,17.1,20.9,82.0,0.8,False,3,11,4,False,False,False,False,Intermedia,128,104,106.86,167.74,109.28,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-07,SKU_1L,Personal,1.0,Botella,73,259,0,186,180,2.0,0.0,0.0,208.03,2762,145558,83,17.5,20.3,82.4,0.0,False,4,11,4,False,False,False,False,Intermedia,112,124,99.57,188.61,144.32,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-08,SKU_1L,Personal,1.0,Botella,82,737,551,655,180,2.0,0.0,0.0,81.39,1134,63806,40,16.6,19.9,80.7,0.0,False,5,11,4,False,False,False,False,Intermedia,73,36,106.14,208.03,167.74,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-09,SKU_1L,Personal,1.0,Botella,131,655,0,524,180,2.0,0.0,0.0,122.61,1269,75772,36,16.5,20.1,74.5,0.0,False,6,11,4,True,False,False,False,Intermedia,82,118,108.0,81.39,188.61,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-10,SKU_1L,Personal,1.0,Botella,151,524,0,373,180,2.0,0.0,0.0,114.44,1292,79345,46,18.5,22.1,74.7,0.0,False,7,11,4,True,False,False,False,Intermedia,131,121,112.29,122.61,208.03,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-11,SKU_1L,Personal,1.0,Botella,88,373,0,285,180,2.0,0.0,0.0,151.43,1688,110240,73,19.3,23.5,76.0,0.0,False,1,11,4,False,False,False,False,Intermedia,151,109,109.29,114.44,81.39,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-12,SKU_1L,Personal,1.0,Botella,117,285,0,168,180,2.0,0.0,0.0,116.34,1046,65332,36,17.1,20.9,81.1,0.0,False,2,11,4,False,False,False,False,Intermedia,88,128,107.71,151.43,122.61,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-13,SKU_1L,Personal,1.0,Botella,89,619,451,530,180,2.0,0.0,0.0,139.68,1125,77229,29,19.3,21.9,79.0,0.0,False,3,11,4,False,False,False,False,Intermedia,117,112,104.43,116.34,114.44,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-14,SKU_1L,Personal,1.0,Botella,127,530,0,403,180,2.0,0.0,0.0,158.59,1683,147022,84,17.1,20.3,85.6,0.0,False,4,11,4,False,False,False,False,Intermedia,89,73,112.14,139.68,151.43,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-15,SKU_1L,Personal,1.0,Botella,97,403,0,306,180,2.0,0.0,0.0,98.34,1249,118186,54,16.9,19.8,82.7,0.0,False,5,11,4,False,False,True,False,Intermedia,127,82,114.29,158.59,116.34,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-16,SKU_1L,Personal,1.0,Botella,99,306,0,207,180,2.0,0.0,0.0,134.17,1724,106756,82,17.2,19.7,83.9,0.0,False,6,11,4,True,False,False,False,Intermedia,97,131,109.71,98.34,139.68,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-17,SKU_1L,Personal,1.0,Botella,125,672,465,547,180,2.0,0.0,0.0,83.89,878,47982,34,18.6,22.7,76.0,0.0,False,7,11,4,True,False,False,False,Intermedia,99,151,106.0,134.17,158.59,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-18,SKU_1L,Personal,1.0,Botella,149,547,0,398,180,2.0,0.0,0.0,177.58,2229,136238,64,18.1,22.5,75.8,0.0,False,1,11,4,False,False,False,False,Intermedia,125,88,114.71,83.89,98.34,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-19,SKU_1L,Personal,1.0,Botella,108,398,0,290,180,2.0,0.0,0.0,163.17,2012,172123,74,17.4,22.3,83.9,0.0,False,2,11,4,False,False,False,False,Intermedia,149,117,113.43,177.58,134.17,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-20,SKU_1L,Personal,1.0,Botella,104,290,0,186,180,1.7,31.2,15.0,131.59,1024,74999,20,18.5,22.7,81.5,0.0,False,3,11,4,False,False,False,False,Intermedia,108,89,115.57,163.17,83.89,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-21,SKU_1L,Personal,1.0,Botella,110,704,518,594,180,1.7,33.0,15.0,47.28,273,10972,4,17.1,20.7,72.5,0.0,False,4,11,4,False,False,False,False,Intermedia,104,127,113.14,131.59,177.58,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-22,SKU_1L,Personal,1.0,Botella,97,1051,457,954,180,1.7,29.1,15.0,37.52,252,9166,7,17.6,20.6,78.6,0.0,False,5,11,4,False,False,False,False,Intermedia,110,97,113.14,47.28,163.17,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-23,SKU_1L,Personal,1.0,Botella,155,954,0,799,180,1.7,46.5,15.0,38.84,205,6630,10,18.7,23.4,76.6,0.0,False,6,11,4,True,False,False,False,Intermedia,97,99,121.14,37.52,131.59,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-24,SKU_1L,Personal,1.0,Botella,107,799,0,692,180,1.7,32.1,15.0,47.36,359,12815,15,18.8,22.4,75.7,0.0,False,7,11,4,True,False,False,False,Intermedia,155,125,118.57,38.84,47.28,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-25,SKU_1L,Personal,1.0,Botella,130,692,0,562,180,1.7,39.0,15.0,73.89,476,15474,12,18.7,21.6,83.7,0.0,False,1,11,4,False,False,False,False,Intermedia,107,149,115.86,47.36,37.52,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-26,SKU_1L,Personal,1.0,Botella,122,562,0,440,180,1.7,36.6,15.0,20.11,156,8439,5,18.1,22.4,79.2,0.0,False,2,11,4,False,False,False,False,Intermedia,130,108,117.86,73.89,38.84,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-27,SKU_1L,Personal,1.0,Botella,104,440,0,336,180,1.7,31.2,15.0,0.0,0,0,0,19.2,23.6,78.6,0.0,False,3,11,4,False,False,False,False,Intermedia,122,104,117.86,20.11,47.36,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-28,SKU_1L,Personal,1.0,Botella,146,336,0,190,180,1.7,43.8,15.0,0.0,0,0,0,16.8,20.7,81.0,0.0,False,4,11,4,False,False,False,False,Intermedia,104,110,123.0,0.0,73.89,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-29,SKU_1L,Personal,1.0,Botella,121,503,313,382,180,1.7,36.3,15.0,0.0,0,0,0,19.4,22.3,81.1,0.8,False,5,11,4,False,False,False,False,Intermedia,146,97,126.43,0.0,20.11,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-11-30,SKU_1L,Personal,1.0,Botella,131,382,0,251,180,1.7,39.3,15.0,0.0,0,0,0,18.2,22.7,76.0,0.0,False,6,11,4,True,False,True,True,Intermedia,121,155,123.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-01,SKU_1L,Personal,1.0,Botella,118,251,0,133,180,2.0,0.0,0.0,0.0,0,0,0,19.0,22.0,84.5,0.0,False,7,12,4,True,False,False,False,Verano,131,107,124.57,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-02,SKU_1L,Personal,1.0,Botella,77,478,345,401,180,2.0,0.0,0.0,0.0,0,0,0,18.4,22.8,79.3,0.0,False,1,12,4,False,False,False,False,Verano,118,130,117.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-03,SKU_1L,Personal,1.0,Botella,102,401,0,299,180,2.0,0.0,0.0,26.31,409,22468,15,17.4,20.3,75.7,0.0,False,2,12,4,False,False,False,False,Verano,77,122,114.14,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-04,SKU_1L,Personal,1.0,Botella,78,299,0,221,180,2.0,0.0,0.0,196.87,2650,191843,83,20.0,24.7,76.2,0.0,False,3,12,4,False,False,False,False,Verano,102,104,110.43,26.31,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-05,SKU_1L,Personal,1.0,Botella,134,221,0,87,180,2.0,0.0,0.0,287.47,3008,220937,116,20.0,22.5,74.8,0.0,False,4,12,4,False,False,False,False,Verano,78,146,108.71,196.87,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-06,SKU_1L,Personal,1.0,Botella,108,474,387,366,180,2.0,0.0,0.0,141.7,1553,112836,30,18.3,22.4,89.6,0.0,False,5,12,4,False,False,False,False,Verano,134,121,106.86,287.47,26.31,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-07,SKU_1L,Personal,1.0,Botella,155,366,0,211,180,2.0,0.0,0.0,244.25,2741,168092,84,20.3,24.3,85.1,0.0,False,6,12,4,True,False,False,False,Verano,108,131,110.29,141.7,196.87,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-08,SKU_1L,Personal,1.0,Botella,140,619,408,479,180,2.0,0.0,0.0,194.48,2136,140280,52,19.5,23.2,76.1,0.0,False,7,12,4,True,True,False,False,Verano,155,118,113.43,244.25,287.47,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-09,SKU_1L,Personal,1.0,Botella,100,479,0,379,180,2.0,0.0,0.0,119.68,1011,44503,53,19.8,24.1,75.4,0.0,False,1,12,4,False,False,False,False,Verano,140,77,116.71,194.48,141.7,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-10,SKU_1L,Personal,1.0,Botella,117,379,0,262,180,2.0,0.0,0.0,173.32,1776,100240,77,18.0,21.4,78.8,0.0,False,2,12,4,False,False,False,False,Verano,100,102,118.86,119.68,244.25,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-11,SKU_1L,Personal,1.0,Botella,161,262,0,101,180,2.0,0.0,0.0,256.18,3011,182737,114,19.4,23.7,72.9,0.0,False,3,12,4,False,False,False,False,Verano,117,78,130.71,173.32,194.48,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-12,SKU_1L,Personal,1.0,Botella,119,502,401,383,180,2.0,0.0,0.0,199.09,2396,186396,84,18.3,22.4,86.8,0.0,False,4,12,4,False,False,False,False,Verano,161,134,128.57,256.18,119.68,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-13,SKU_1L,Personal,1.0,Botella,126,383,0,257,180,2.0,0.0,0.0,169.4,1761,90157,56,20.1,23.5,76.5,0.0,False,5,12,4,False,False,False,False,Verano,119,108,131.14,199.09,173.32,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-14,SKU_1L,Personal,1.0,Botella,117,257,0,140,180,2.0,0.0,0.0,242.56,2620,187753,115,18.8,22.2,74.4,2.5,False,6,12,4,True,False,False,False,Verano,126,155,125.71,169.4,256.18,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-15,SKU_1L,Personal,1.0,Botella,165,620,480,455,180,2.0,0.0,0.0,131.34,1423,83647,46,19.4,22.6,71.3,0.0,False,7,12,4,True,False,True,False,Verano,117,140,129.29,242.56,199.09,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-16,SKU_1L,Personal,1.0,Botella,103,455,0,352,180,2.0,0.0,0.0,250.33,2525,145928,84,20.2,24.8,76.9,0.0,False,1,12,4,False,False,False,False,Verano,165,100,129.71,131.34,169.4,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-17,SKU_1L,Personal,1.0,Botella,103,352,0,249,180,2.0,0.0,0.0,136.7,2153,143281,94,18.5,21.3,67.7,0.0,False,2,12,4,False,False,False,False,Verano,103,117,127.71,250.33,242.56,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-18,SKU_1L,Personal,1.0,Botella,127,249,0,122,180,1.8,25.4,10.0,147.11,1391,79919,45,17.2,21.5,79.7,0.0,False,3,12,4,False,False,False,False,Verano,103,161,122.86,136.7,131.34,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-19,SKU_1L,Personal,1.0,Botella,120,600,478,480,180,1.8,24.0,10.0,168.48,1605,103205,67,18.7,23.1,80.1,0.0,False,4,12,4,False,False,False,False,Verano,127,119,123.0,147.11,250.33,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-20,SKU_1L,Personal,1.0,Botella,146,480,0,334,180,1.8,29.2,10.0,215.41,2540,153674,81,18.8,22.0,75.3,0.0,False,5,12,4,False,False,False,False,Verano,120,126,125.86,168.48,136.7,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-21,SKU_1L,Personal,1.0,Botella,190,334,0,144,180,1.8,38.0,10.0,198.83,2432,157209,111,20.4,24.0,74.2,0.0,False,6,12,4,True,False,False,False,Verano,146,117,136.29,215.41,147.11,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-22,SKU_1L,Personal,1.0,Botella,121,513,369,392,180,1.8,24.2,10.0,181.64,1722,108875,77,19.3,22.0,78.3,0.0,False,7,12,4,True,False,False,False,Verano,190,165,130.0,198.83,168.48,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-23,SKU_1L,Personal,1.0,Botella,158,392,0,234,180,1.8,31.6,10.0,161.08,1343,78401,30,17.9,21.3,83.2,2.0,False,1,12,4,False,False,False,False,Verano,121,103,137.86,181.64,215.41,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-24,SKU_1L,Personal,1.0,Botella,129,234,0,105,180,1.8,25.8,10.0,42.22,251,12029,6,20.0,24.8,79.9,0.0,False,2,12,4,False,False,False,False,Verano,158,103,141.57,161.08,198.83,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-25,SKU_1L,Personal,1.0,Botella,140,601,496,461,180,2.0,0.0,0.0,0.0,0,0,0,20.7,25.6,73.5,0.0,False,3,12,4,False,True,False,False,Verano,129,127,143.43,42.22,181.64,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-26,SKU_1L,Personal,1.0,Botella,89,461,0,372,180,2.0,0.0,0.0,0.0,0,0,0,20.3,23.9,72.1,0.0,False,4,12,4,False,False,False,False,Verano,140,120,139.0,0.0,161.08,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-27,SKU_1L,Personal,1.0,Botella,121,372,0,251,180,2.0,0.0,0.0,0.0,0,0,0,19.5,22.3,77.0,0.0,False,5,12,4,False,False,False,False,Verano,89,146,135.43,0.0,42.22,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-28,SKU_1L,Personal,1.0,Botella,135,251,0,116,180,2.0,0.0,0.0,0.0,0,0,0,20.4,24.2,82.1,0.0,False,6,12,4,True,False,False,False,Verano,121,190,127.57,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-29,SKU_1L,Personal,1.0,Botella,123,569,453,446,180,2.0,0.0,0.0,0.0,0,0,0,20.0,24.3,78.4,0.0,False,7,12,4,True,False,False,False,Verano,135,121,127.86,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-30,SKU_1L,Personal,1.0,Botella,172,446,0,274,180,2.0,0.0,0.0,0.0,0,0,0,19.5,22.4,66.6,0.0,False,1,12,4,False,False,True,False,Verano,123,158,129.86,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-12-31,SKU_1L,Personal,1.0,Botella,147,274,0,127,180,2.0,0.0,0.0,0.0,0,0,0,20.1,23.6,85.8,0.0,False,2,12,4,False,False,True,True,Verano,172,129,132.43,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-01,SKU_20L,Familiar,20.0,Bidón,64,360,0,296,120,7.5,0.0,0.0,0.0,0,0,0,20.9,25.2,76.4,0.0,False,1,1,1,False,True,False,False,Verano,0,0,64.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-02,SKU_20L,Familiar,20.0,Bidón,88,296,0,208,120,7.5,0.0,0.0,0.0,0,0,0,20.8,25.1,81.1,0.0,False,2,1,1,False,False,False,False,Verano,64,0,76.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-03,SKU_20L,Familiar,20.0,Bidón,68,208,0,140,120,7.5,0.0,0.0,79.02,1276,61293,67,20.3,23.2,79.7,0.0,False,3,1,1,False,False,False,False,Verano,88,0,73.33,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-04,SKU_20L,Familiar,20.0,Bidón,70,392,252,322,120,7.5,0.0,0.0,69.98,1207,89448,30,18.6,21.9,82.8,0.0,False,4,1,1,False,False,False,False,Verano,68,0,72.5,79.02,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-05,SKU_20L,Familiar,20.0,Bidón,81,322,0,241,120,7.5,0.0,0.0,241.6,2580,212518,91,20.1,23.7,72.1,0.0,False,5,1,1,False,False,False,False,Verano,70,0,74.2,69.98,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-06,SKU_20L,Familiar,20.0,Bidón,120,241,0,121,120,7.5,0.0,0.0,239.52,2387,172560,63,22.9,25.5,76.7,0.0,False,6,1,1,True,False,False,False,Verano,81,0,81.83,241.6,79.02,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-07,SKU_20L,Familiar,20.0,Bidón,91,431,310,340,120,7.5,0.0,0.0,193.75,2238,138127,92,20.5,24.7,76.2,0.0,False,7,1,1,True,False,False,False,Verano,120,0,83.14,239.52,69.98,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-08,SKU_20L,Familiar,20.0,Bidón,84,594,254,510,120,7.5,0.0,0.0,207.88,2783,168476,134,20.6,25.4,77.2,0.0,False,1,1,1,False,False,False,False,Verano,91,64,86.0,193.75,241.6,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-09,SKU_20L,Familiar,20.0,Bidón,85,510,0,425,120,7.5,0.0,0.0,260.97,2800,211809,105,21.3,25.2,68.8,0.0,False,2,1,1,False,False,False,False,Verano,84,88,85.57,207.88,239.52,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-10,SKU_20L,Familiar,20.0,Bidón,83,425,0,342,120,6.75,62.25,10.0,151.01,2001,115574,107,21.4,26.2,80.1,0.0,False,3,1,1,False,False,False,False,Verano,85,68,87.71,260.97,193.75,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-11,SKU_20L,Familiar,20.0,Bidón,93,342,0,249,120,6.75,69.75,10.0,217.34,2410,158453,96,21.2,24.7,75.5,0.0,False,4,1,1,False,False,False,False,Verano,83,70,91.0,151.01,207.88,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-12,SKU_20L,Familiar,20.0,Bidón,98,249,0,151,120,6.75,73.5,10.0,178.15,2024,118796,78,20.3,24.1,74.0,0.0,False,5,1,1,False,False,False,False,Verano,93,81,93.43,217.34,260.97,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-13,SKU_20L,Familiar,20.0,Bidón,114,151,0,37,120,6.75,85.5,10.0,192.26,2342,160317,106,20.9,23.4,79.4,0.0,False,6,1,1,True,False,False,False,Verano,98,120,92.57,178.15,151.01,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-14,SKU_20L,Familiar,20.0,Bidón,118,299,262,181,120,6.75,88.5,10.0,136.39,1941,165475,52,22.2,24.9,78.8,0.0,False,7,1,1,True,False,False,False,Verano,114,91,96.43,192.26,217.34,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-15,SKU_20L,Familiar,20.0,Bidón,125,438,257,313,120,6.75,93.75,10.0,221.51,2122,167327,86,21.9,25.2,80.0,0.0,False,1,1,1,False,False,True,False,Verano,118,84,102.29,136.39,178.15,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-16,SKU_20L,Familiar,20.0,Bidón,104,313,0,209,120,6.75,78.0,10.0,303.46,3188,175068,122,22.6,26.7,71.8,0.0,False,2,1,1,False,False,False,False,Verano,125,85,105.0,221.51,192.26,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-17,SKU_20L,Familiar,20.0,Bidón,83,209,0,126,120,6.75,62.25,10.0,70.25,827,84709,12,22.0,26.4,73.4,0.0,False,3,1,1,False,False,False,False,Verano,104,83,105.0,303.46,136.39,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-18,SKU_20L,Familiar,20.0,Bidón,142,416,290,274,120,6.75,106.5,10.0,242.33,2158,124964,102,24.5,28.1,70.0,0.0,True,4,1,1,False,False,False,False,Verano,83,93,112.0,70.25,221.51,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-19,SKU_20L,Familiar,20.0,Bidón,90,274,0,184,120,6.75,67.5,10.0,201.55,2068,120714,80,22.0,25.3,74.8,0.0,False,5,1,1,False,False,False,False,Verano,142,98,110.86,242.33,303.46,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-20,SKU_20L,Familiar,20.0,Bidón,120,184,0,64,120,6.75,90.0,10.0,228.88,2061,122138,88,21.6,26.0,70.4,0.0,False,6,1,1,True,False,False,False,Verano,90,114,111.71,201.55,70.25,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-21,SKU_20L,Familiar,20.0,Bidón,103,331,267,228,120,7.5,0.0,0.0,144.2,1135,69959,22,21.4,26.3,74.5,0.0,False,7,1,1,True,False,False,False,Verano,120,118,109.57,228.88,242.33,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-22,SKU_20L,Familiar,20.0,Bidón,69,228,0,159,120,7.5,0.0,0.0,84.98,1191,128821,29,22.4,25.3,76.9,0.0,False,1,1,1,False,False,False,False,Verano,103,125,101.57,144.2,201.55,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-23,SKU_20L,Familiar,20.0,Bidón,60,159,0,99,120,7.5,0.0,0.0,87.53,1189,85726,47,21.7,24.8,75.0,0.0,False,2,1,1,False,False,False,False,Verano,69,104,95.29,84.98,228.88,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-24,SKU_20L,Familiar,20.0,Bidón,81,499,400,418,120,7.5,0.0,0.0,65.17,919,74359,49,20.2,23.3,79.0,0.0,False,3,1,1,False,False,False,False,Verano,60,83,95.0,87.53,144.2,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-25,SKU_20L,Familiar,20.0,Bidón,90,418,0,328,120,7.5,0.0,0.0,76.2,853,60218,15,22.3,26.1,77.4,0.0,False,4,1,1,False,False,False,False,Verano,81,142,87.57,65.17,84.98,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
